Gender,Income
Female,18000.0
Male,11439.0
Female,10500.0
Male,1775.0
Female,8851.0
Male,8052.0
Male,8000.0
Male,9100.0
Female,6791.0
Male,10500.0
Female,16666.0
Male,3000.0
Female,2389.0
Male,5630.0
Male,12500.0
Male,4500.0
Male,4673.0
Male,3185.0
Male,26500.0
Female,16000.0
Male,7716.0
Male,4626.0
Male,5288.0
Male,7666.0
Male,9166.0
Male,7328.0
Male,12850.0
Male,13916.0
Female,10869.0
Male,17017.0
Male,7661.0
Male,4500.0
Male,2200.0
Male,12000.0
Female,7000.0
Male,8912.0
Female,3500.0
Male,8333.0
Male,3000.0
Male,11500.0
Female,7300.0
Male,7160.0
Male,12500.0
Male,6000.0
Male,4270.0
Male,2398.0
Male,7258.0
Female,6800.0
Male,1790.0
Male,5833.0
Male,5500.0
Male,12000.0
Male,7100.0
Male,3525.0
Male,5000.0
Male,16500.0
Female,7000.0
Male,5900.0
Female,4583.0
Female,2515.0
Female,30200.0
Female,3533.0
Male,6200.0
Female,4600.0
Male,7000.0
Female,6038.0
Female,3283.0
Male,6059.0
Female,5843.0
Male,4409.0
Female,8583.0
Male,9041.0
Female,8000.0
Female,5000.0
Female,4800.0
Female,11100.0
Male,3333.0
Female,1568.0
Male,12667.0
Male,5443.0
Male,6048.0
Female,2200.0
Male,10416.0
Female,2668.0
Female,13000.0
Female,8123.0
Male,3204.0
Male,9083.0
Male,16070.0
Male,19400.0
Male,3134.0
Male,2667.0
Female,3614.0
Female,4000.0
Female,5000.0
Female,9900.0
Male,3333.0
Male,11000.0
Female,6000.0
Male,5166.0
Male,7916.0
Male,5200.0
Female,7260.0
Male,5300.0
Female,28129.0
Female,1935.0
Female,3000.0
Female,12500.0
Female,4316.0
Female,2608.0
Female,9000.0
Female,13000.0
Female,7500.0
Female,7500.0
Female,7010.0
Female,2075.0
Female,6000.0
Male,9500.0
Male,2834.0
Female,3127.0
Male,10076.0
Female,5800.0
Male,3237.0
Male,2500.0
Female,5600.0
Female,4207.0
Female,7417.0
Male,5350.0
Female,5458.0
Male,6628.0
Male,3800.0
Female,7000.0
Female,11000.0
Male,7333.0
Female,3065.0
Male,1200.0
Female,3333.0
Male,5684.0
Female,1580.0
Female,13500.0
Male,5000.0
Female,3500.0
Female,10666.0
Female,4999.0
Female,4900.0
Female,3539.0
Male,4948.0
Male,6250.0
Female,3623.0
Male,20000.0
Male,2909.0
Male,4000.0
Female,4574.0
Male,5500.0
Female,3000.0
Male,3583.0
Female,5000.0
Male,2650.0
Male,4166.0
Female,2500.0
Female,11666.0
Male,4000.0
Male,9965.0
Female,5203.0
Male,8000.0
Male,15458.0
Female,11133.0
Male,3750.0
Female,7083.0
Female,2583.0
Female,1390.0
Female,4509.0
Female,8933.0
Male,7250.0
Female,3000.0
Female,2800.0
Male,6681.0
Male,5125.0
Female,6400.0
Female,2728.0
Female,13624.0
Male,3407.0
Male,10001.0
Male,2300.0
Male,8800.0
Male,6250.0
Female,5683.0
Female,5000.0
Female,27900.0
Female,9310.0
Male,1676.0
Male,3583.0
Male,2000.0
Female,12625.0
Male,10600.0
Female,2386.0
Male,2250.0
Female,7746.0
Male,4499.0
Male,14746.0
Female,10106.0
Female,12500.0
Male,14452.0
Male,3600.0
Female,5000.0
Female,6900.0
Female,6552.0
Male,6408.0
Female,2781.0
Male,5422.0
Female,820.0
Female,3333.0
Male,15916.0
Female,13054.0
Male,8709.0
Male,6200.0
Male,6416.0
Male,2916.0
Male,6200.0
Female,5800.0
Male,4300.0
Male,3800.0
Male,8500.0
Female,2200.0
Male,6114.0
Female,7370.0
Female,5000.0
Female,7585.0
Male,9000.0
Male,2400.0
Male,10416.0
Female,18333.0
Male,3000.0
Male,13600.0
Male,58000.0
Male,4924.0
Male,11794.0
Female,3300.0
Male,8333.0
Female,15000.0
Female,2995.0
Male,5166.0
Male,8999.0
Male,14166.0
Female,4076.0
Male,10000.0
Male,2800.0
Male,15027.0
Female,2928.0
Female,10500.0
Female,7667.0
Female,9244.0
Male,2839.0
Male,9500.0
Female,5250.0
Female,9000.0
Female,1660.0
Female,7500.0
Male,13000.0
Male,3800.0
Male,7083.0
Male,25700.0
Female,6924.0
Female,10683.0
Female,2000.0
Male,1770.0
Male,18749.0
Male,4700.0
Female,3649.0
Female,5666.0
Male,2046.0
Female,12000.0
Male,3200.0
Male,12750.0
Male,17000.0
Male,13483.0
Male,7500.0
Female,3900.0
Male,6809.0
Male,2095.0
Female,10000.0
Female,12500.0
Male,1400.0
Male,4000.0
Male,2500.0
Female,8760.0
Female,4583.0
Male,6500.0
Female,39180.0
Female,3466.0
Male,6666.0
Male,6562.0
Female,2601.0
Male,3929.0
Male,4513.0
Male,5950.0
Male,11500.0
Female,4000.0
Male,17800.0
Male,18583.0
Male,5000.0
Male,25000.0
Male,8500.0
Male,2686.0
Male,5500.0
Male,2001.0
Male,6249.0
Female,4302.0
Female,5833.0
Female,1864.0
Female,18738.0
Female,2400.0
Female,3071.0
Female,5683.0
Female,7231.0
Male,12000.0
Female,8000.0
Male,5726.0
Male,4500.0
Male,2907.0
Male,12215.0
Male,10322.0
Male,7200.0
Male,3578.0
Female,5091.0
Female,4600.0
Female,8416.0
Male,8180.0
Female,44383.0
Female,13268.0
Female,25083.0
Male,4000.0
Female,15000.0
Female,10000.0
Female,2750.0
Male,5417.0
Female,9783.0
Male,4500.0
Female,5380.0
Female,3851.0
Male,4000.0
Male,10208.0
Male,2400.0
Male,8196.0
Female,6350.0
Female,4558.0
Male,400.0
Male,2500.0
Female,3833.0
Male,5000.0
Female,9000.0
Female,5536.0
Male,1330.0
Male,2750.0
Male,5097.0
Male,4966.0
Female,5833.0
Male,13000.0
Male,6868.0
Female,5000.0
Male,3750.0
Female,12292.0
Male,4565.0
Female,9600.0
Female,7175.0
Female,5467.0
Female,8195.0
Male,1800.0
Male,13000.0
Female,4600.0
Male,8717.0
Male,8000.0
Male,3500.0
Female,2600.0
Male,7166.0
Male,2900.0
Female,8000.0
Male,9403.0
Female,2083.0
Male,8333.0
Male,2917.0
Female,5000.0
Female,4916.0
Male,4583.0
Female,1906.0
Female,1100.0
Male,5000.0
Female,1479.0
Male,8150.0
Female,5000.0
Female,4337.0
Male,17163.0
Female,8300.0
Female,2400.0
Female,5250.0
Female,3500.0
Female,15000.0
Male,3500.0
Male,7200.0
Male,2800.0
Female,4533.0
Female,4969.0
Female,24487.0
Female,5550.0
Male,8114.0
Male,2700.0
Male,2333.0
Male,17966.0
Male,2432.0
Male,51250.0
Female,9200.0
Male,8550.0
Male,10900.0
Male,11660.0
Male,4600.0
Female,5000.0
Male,5070.0
Male,10833.0
Female,5300.0
Female,7500.0
Male,4000.0
Female,3238.0
Male,8912.0
Male,10228.0
Male,5839.0
Female,31000.0
Female,3041.0
Female,1345.0
Male,3500.0
Female,7000.0
Female,3600.0
Female,5250.0
Male,31377.0
Male,7000.0
Female,1300.0
Male,4000.0
Female,3803.0
Female,3300.0
Female,5800.0
Female,5237.0
Female,3400.0
Male,7700.0
Female,20833.0
Male,3800.0
Female,12400.0
Male,3146.0
Male,3216.0
Female,3750.0
Male,3272.0
Female,2000.0
Female,2883.0
Female,4184.0
Female,7000.0
Male,10300.0
Female,3629.0
Female,8350.0
Female,7000.0
Female,2900.0
Male,17362.0
Male,15385.0
Male,3334.0
Female,3528.0
Male,2300.0
Male,14166.0
Female,2600.0
Male,2100.0
Male,4050.0
Male,10500.0
Male,9000.0
Male,11883.0
Female,1684.0
Male,9455.0
Female,2700.0
Female,4166.0
Female,3100.0
Female,4250.0
Male,7916.0
Female,3000.0
Male,9300.0
Male,5651.0
Male,5800.0
Male,6000.0
Male,5000.0
Male,5035.0
Male,22700.0
Female,2065.0
Female,5500.0
Female,8339.0
Male,7833.0
Female,11300.0
Male,4000.0
Male,2650.0
Female,19166.0
Female,8133.0
Female,2332.0
Female,2430.0
Female,5224.0
Male,5640.0
Male,6746.0
Male,5500.0
Male,3750.0
Female,12000.0
Female,14269.0
Male,8579.0
Female,9539.0
Female,14000.0
Male,10500.0
Female,7666.0
Male,3561.0
Female,15580.0
Male,8500.0
Male,5000.0
Male,2463.0
Male,7000.0
Male,5000.0
Female,6000.0
Female,1140.0
Female,7041.0
Female,7958.0
Female,7593.0
Female,6300.0
Female,5000.0
Female,6456.0
Male,7397.0
Male,6545.0
Female,4550.0
Male,7216.0
Male,5025.0
Male,3500.0
Female,9166.0
